content,rating
이 제품이랑 같은 라인인 스킨이랑 같이 바르는데 촉촉해지고 좋았는데 단종은 언제 된거에요ㅠㅠ?,4
"#사요
트러블 피부인 친구한테 선물해줬는데 순하고 자극이 없다고 좋아했어요 저도 써보고 효과 본 제품이거든요 피부 진정에 효과가 좋은 것 같아요 믿고 쓰는 이니스프리!!",4
"이 라인 중학교때 진짜 열심히 발랐는데 여드름신이었던 제가 여드름 싹 낳고 새로운 사람으로 거듭났습니다.
지금 쓰는 스킨로션 다쓰면 이 라인 또 사고싶네요.
인생 로션 인생 제품.
지성이었는데 유분기 많이 안 올라오고 그냥...
향도 너무 좋고... 안쓰면 그리워지는 로션.",5
왜 단종이지...?내가 이걸 산게 아닌가 아님 내가 샀는데 단종된곤가 어쨌든 이 로션 진짜 좋더라구여 촉촉하고 기름 별로 안지면서! 피부 진짜 좋아지는거 같아여!,5
"피부가 건조한 편이라 촉촉한 제품을 좋아하는데 이건 넘 유분이 없었어요
지성인 분들이 쓰면 좋을것 같아요
처음에만 촉촉하다가 조금만 지나도 건조하고 당겨서 크림이 필수랍니다",2
스킨이랑 같이 샀었는데 완전 순하고 좋아요!!,5
굉장히 가벼워요 그래서 여름에 쓰기 딱 좋은 것 같구요 그냥 일반적인 로션 느낌이라서 냄새도 거의 무향에 가깝고 손바닥에 올렸을 때 좀 흐르는 제형입니다 여름에 가볍께 쓰기 좋은 것 같아용,4
로션인데 산뜻해서 지성분들에게 추천드리는 제품이에요 민감성은 안쓰시는게 좋을것같아요,4
"흘러내리는 용액이라 바를때 조금 불편했어요. 너무 평범해서 순하다는거 말곤 장점을 못 찾을 그런 제품이에요 
아무리 써봐도 다른 로션보다 뭐가 더 강점인지 모르겠네요",3
너무 묽어요,2
"세통째 비우고 있는데 무난하게 좋음. 물과 크림사이? 제형이라서 너무 흘러내리지도 않았고 수분감도 좋았는데 건성이 쓰기에는 건조함..특히 겨울,,,
여름에는 그냥 잘 넘어가는데 환절기 들어서면 바르고 나서 얼굴이 당김 ㅠㅠ
향도 너무 심하지 않고 순한 것 같아서 그냥 무난하게 쓰기 좋지만 여름에만 쓰는걸로,,",4
냄새도 너무 좋고 약간 묽은 제형이라서 지성인 저에게는 너무 좋았습니다 대신 여름에만 좋았어요... 봄 가을 겨울에는 이걸 발라도 안바른것처럼 얼굴이 건조하고 당겨서 수분크림을 따로 발라줘야 했어요!,4
로션은 저랑 잘 안맞아서 안쓰고 바로 수분크림만 쓰는데 요거는 선물받아서 한번 써보고나서는 계속 써요! 좀 묽은 편이라 무겁지도 않고 유분기도 딱히 느껴지지 않으면서 깔끔하게 마무리되는 느낌ㅠㅜ 전 바르고나서의 느낌이 참 좋아요ㅠㅠ,5
좋지도 나쁘지도 않은 제품이엇어요 어느날엔 좋앗다가 어느날은 별로엿던 제품으로 생각합니다,3
"너무 묽어서 바를때 별로고 ㄹㅇ 이라인 스킨보다 아주쬐끔더 끈적함 진짜진짜진짜한여름일때 발라야 안건조함
초여름 여름끝날때 바르면 건조해요",3
그냥 데일리로 이거 스킨도 좋아요 트러블도 안나고 저희 아빠도 좋아서 쓰시는중! 가족들도 다 잘바르더라구요,4
3년째 이것만 쓰고 있는데 이건 피부 건조하신 분들한테 정말 강추 하고 싶습니다 제가 피부가 좀 건조한 편인데 이거 쓰고 나서 건조한 피부 싹 살아져 버렸어요 이니스프리 정말 감사합니다!,5
최고ㅠㅠ 수부지이고 로션의 끈적거림때문에 로션 바르는걸 극도로 싫어했는데 가벼워서 너무좋음 몇년째 애용 중 헐 단종이라니....이제 뭐 쓰지 몇년째 이것만 썼는데 왜 단종인가요ㅠㅠㅠㅠㅠㅜ,5
