index,content,rating,age,gender,nickname,skin_type,brand_name,product_name,product_id,brand_id,editor/rank,editor/review_count,user_id
1,이 제품이랑 같은 라인?인 스킨이랑 같이 바르는데 촉촉해지고 좋았는데 단종은 언제 된거에요ㅠㅠ?,4,17,2,Lata,지성,이니스프리,그린티 밸런싱 로션,7299,186,57902,10,1117164
2,"#사요
트러블 피부인 친구한테 선물해줬는데 순하고 자극이 없다고 좋아했어요 저도 써보고 효과 본 제품이거든요 피부 진정에 효과가 좋은 것 같아요 믿고 쓰는 이니스프리!!",4,23,2,wjddms0753,복합성,이니스프리,그린티 밸런싱 로션,7299,186,41491,20,1141235
3,"이 라인 중학교때 진짜 열심히 발랐는데 여드름신이었던 제가 여드름 싹 낳고 새로운 사람으로 거듭났습니다.
지금 쓰는 스킨로션 다쓰면 이 라인 또 사고싶네요.
인생 로션 인생 제품.
지성이었는데 유분기 많이 안올라오고 그냥...
향도 너무 좋고... 안쓰면 그리워지는 로션.",5,19,2,탱귤사랑,지성,이니스프리,그린티 밸런싱 로션,7299,186,30035,40,1151845
4,왜 단종이지...?내가 이걸 산게 아닌가 아님 내가 샀는데 단종된곤가 어쨌든 이 로션 진짜 좋더라구여 촉촉하고 기름 별로 안지면서! 피부 진짜 좋아지는거 같아여!,5,18,2,토막토막토맛토마토,중성,이니스프리,그린티 밸런싱 로션,7299,186,17111,50,725099
5,"피부가 건조한 편이라 촉촉한 제품을 좋아하는데 이건 넘 유분이 없었어요
지성인 분들이 쓰면 좋을것 같아요
처음에만 촉촉하다가 조금만 지나도 건조하고 당겨서 크림이 필수랍니다",2,22,2,tpruddl,건성,이니스프리,그린티 밸런싱 로션,7299,186,42506,23,965912
6,스킨이랑 같이 샀었는데 완전 순하고 좋아요!!,5,17,2,태은김,민감성,이니스프리,그린티 밸런싱 로션,7299,186,57902,10,1135295
7,굉장히 가벼워요 그래서 여름에 쓰기 딱 좋은 것 같구요 그냥 일반적인 로션 느낌이라서 냄새도 거의 무향에 가깝고 손바닥에 올렸을 때 좀 흐르는 제형입니다 여름에 가볍께 쓰기 좋은 것 같아용,4,16,2,가끔듣는노래,건성,이니스프리,그린티 밸런싱 로션,7299,186,57902,10,1128573
8,로션인데 산뜻해서 지성분들에게 추천드리는 제품이에요 민감성은 안쓰시는게 좋을것같아요,4,16,2,Shyeon9,민감성,이니스프리,그린티 밸런싱 로션,7299,186,33108,31,793738
9,"흘러내리는 용액이라 바를때 조금 불편했어요. 너무 평범해서 순하다는거 말곤 장점을 못 찾을 그런 제품이에요 
아무리 써봐도 다른 로션보다 뭐가 더 강점인지 모르겠네요",3,25,1,서울시원빈,복합성,이니스프리,그린티 밸런싱 로션,7299,186,42506,21,1118119
10,너무 묽어요,2,27,2,민손이,복합성,이니스프리,그린티 밸런싱 로션,7299,186,32429,34,918998
11,"세통째 비우고 있는데 무난하게 좋음. 물과 크림사이? 제형이라서 너무 흘러내리지도 않았고 수분감도 좋았는데 건성이 쓰기에는 건조함..특히 겨울,,,
여름에는 그냥 잘 넘어가는데 환절기 들어서면 바르고 나서 얼굴이 당김 ㅠㅠ
향도 너무 심하지 않고 순한 것 같아서 그냥 무난하게 쓰기 좋지만 여름에만 쓰는걸로,,",4,20,2,롱콩,건성,이니스프리,그린티 밸런싱 로션,7299,186,30035,36,1077555
12,냄새도 너무 좋고 약간 묽은 제형이라서 지성인 저에게는 너무 좋았습니다 대신 여름에만 좋았어요... 봄 가을 겨울에는 이걸 발라도 안바른것처럼 얼굴이 건조하고 당겨서 수분크림을 따로 발라줘야 했어요!,4,18,2,야치참채죽,지성,이니스프리,그린티 밸런싱 로션,7299,186,34494,23,1114092
13,로션은 저랑 잘 안맞아서 안쓰고 바로 수분크림만 쓰는데 요거는 선물받아서 한번 써보고나서는 계속 써요! 좀 묽은 편이라 무겁지도 않고 유분기도 딱히 느껴지지 않으면서 깔끔하게 마무리되는 느낌ㅠㅜ 전 바르고나서의 느낌이 참 좋아요ㅠㅠ,5,28,2,ㅁI,민감성,이니스프리,그린티 밸런싱 로션,7299,186,30035,36,1098080
14,좋지도 나쁘지도 않은 제품이엇어요 어느날엔 좋앗다가 어느날은 별로엿던 제품으로 생각합니다,3,20,2,희와망,지성,이니스프리,그린티 밸런싱 로션,7299,186,40587,25,1070633
15,"너무 묽어서 바를때 별로고 ㄹㅇ 이라인 스킨보다 아주쬐끔더 끈적함 진짜진짜진짜한여름일때 발라야 안건조함
초여름 여름끝날때 바르면 건조해요",3,17,2,닝겐에리,복합성,이니스프리,그린티 밸런싱 로션,7299,186,56106,11,768256
16,그냥 데일리로 이거 스킨도 좋아요 트러블도 안나고 저희 아빠도 좋아서 쓰시는중! 가족들도 다 잘바르더라구요,4,15,2,예원최,복합성,이니스프리,그린티 밸런싱 로션,7299,186,54429,10,1084762
17,3년째 이것만 쓰고 있는데 이건 피부 건조하신 분들한테 정말 강추 하고 싶습니다 제가 피부가 좀 건조한 편인데 이거 쓰고 나서 건조한 피부 싹 살아져 버렸어요 이니스프리 정말 감사합니다!,5,17,2,+[hanel]+,건성,이니스프리,그린티 밸런싱 로션,7299,186,81255,3,1025812
18,최고ㅠㅠ 수부지이고 로션의 끈적거림때문에 로션 바르는걸 극도로 싫어했는데 가벼워서 너무좋음 몇년째 애용 중♡ 헐 단종이라니....이제 뭐 쓰지 몇년째 이것만 썼는데 왜 단종인가요ㅠㅠㅠㅠㅠㅜ,5,20,2,lemona,지성,이니스프리,그린티 밸런싱 로션,7299,186,57902,10,58785
19,"2년째 잘 쓰고있는 기초템
촉촉한데 흡수되면 깔끔하고 끈적이지않인 사계절내내 애용한제품 정말 인생템이다 ㅠㅠㅠㅜ
가격대비 오래쓰고 향도 좋다 .
이니스프리 기초템  다 나랑 잘맞는듯",5,18,2,이츠키슈,복합성,이니스프리,그린티 밸런싱 로션,7299,186,24720,45,1011165
20,이거 쓰고 피부에 나던 좁쌀여드름 같은게 많이 없어졌어여!추천이에용😝,5,20,2,즈이유니,지성,이니스프리,그린티 밸런싱 로션,7299,186,36625,30,972232
21,여름에 사용하기 좋은 가벼운 제형의 로션이에요!,4,27,2,만두네언니,복합성,이니스프리,그린티 밸런싱 로션,7299,186,22598,45,1069032
